FacilityName,POINT_X,POINT_Y,Region,District,ActivityHP,ValueID,LabelID,FederalID,SNO,RegionID,ZoneID,DistrictID,LocationID,Month,Year,Value,Level,FACILITYTYPE
Nunu Health Center,8.765723,36.640186,Oromiya,Nunu Qumba Woreda,,482511926,1636,0,,4,402,40215,402150021,2,2008,6,0,2
Adigedena Health Post,0,0,Tigray,Laelay Adiabo Woreda,Number of children received all vaccine doses before 1st birthday,550583679,26,0,1.3.8.1,1,101,10102,1010200317,2,2008,2,0,3
Handawoyzero Health Center,,,Oromiya,Sululta Woreda,,528462593,873,0,,4,423,42305,423050031,2,2008,8,0,2
Kobo Health Post,0,0,Oromiya,Guduru Woreda,,545436718,533,0,,4,419,41903,4190300329,2,2008,4,0,3
Gendebta Health Center,0,0,Tigray,Adwa Woreda,,474752209,2419,0,,1,102,10204,102040023,2,2008,2,0,2
St_Gebriel Hospital,0,0,Addis Ababa,Bole Kifle Ketema,,514498777,1504,0,,14,0,14110,141100040,2,2008,10,0,7
Serdo Health Center,,,Afar,Dubti Woreda,,486454050,639,0,,2,201,20108,201080042,2,2008,0,0,2
Kuruftu Health Center,0,0,Oromiya,Dawe Serer Woreda,                            : females,555778433,3806,0,4.2.1.3.1.12,4,411,41123,411230023,2,2008,4,0,2
HBF,,,Oromiya,Gedeb Asasa Woreda,,548920909,1291,0,,4,417,41706,417060054,2,2008,6,0,6
Kore Health Center,8.9829192,38.711319,Oromiya,Gursum Woreda,,530662746,1273,0,,4,410,41003,410030025,2,2008,3,0,2
Bura Berek Health Center,0,0,Oromiya,Barak Haleltu Woreda,,546132904,1264,0,,4,423,42311,423110023,2,2008,9,0,2
Masha Health Center,11.226615,39.05799,Amhara,Mekdela Woreda,,452608434,1412,0,,3,304,30401,304010021,2,2008,2,0,2
Diba Health Center,0,0,Amhara,Fogera Woreda,,518010822,527,0,,3,302,30203,302030024,2,2008,8,0,2
Bamso Health Center,0,0,Oromiya,Qondala Woreda,,483072999,1123,0,,4,401,40109,401090023,2,2008,5,0,2
Karamile Health Center,9.372365,41.359316,Oromiya,Goro Gutu Woreda,                            : females,555261826,3769,0,4.2.1.2.1.12,4,410,41010,410100022,2,2008,4,0,2
Eyasta Internal Medicine,,,Amhara,,Total number of units of blood transfused,527222428,4534,0,5.2,3,311,0,311000080,2,2008,2,0,6
Haroo Gutee Health Post,0,0,Oromiya,Meko Woreda,,545521261,365,0,,4,403,40318,4031800307,2,2008,2,0,3
 Dide Yabelo Health Center,0,0,Oromiya,Yabelo Woreda,,547501129,877,0,,4,412,41207,412070021,2,2008,3,0,2
TZNA,0,0,Addis Ababa,Kolfe Keraniyo Kefle Ketema,,514322012,862,0,,14,0,14103,141030069,2,2008,1,0,7
Abayseqor Health Center,0,0,Amhara,Debark Zuria Woreda,Number of individuals  who have been tested for HIV and who received their results,524379395,4536,0,C1.4.2.1.1,3,301,30122,301220027,2,2008,9,0,2
Boche Onta Health Post,0,0,Oromiya,Anna Sorra Woreda,Measles doses opened,556355929,1648,0,1.3.10.6(Opened),4,414,41416,4141600324,2,2008,1,0,3
Mozin Health Center,0,0,Amhara,Shebel Berenta Woreda,                  : females,526320519,3953,0,4.2.1.11.12,3,306,30614,306140024,2,2008,3,0,2
Tikur Enchini Health Center,0,0,Oromiya,Tikur Enchini Woreda,,543920101,309,0,,4,405,40509,405090021,2,2008,10,0,2
Igu Dabaqa Health Post,0,0,Oromiya,Babo Gambel Woreda,,545867692,419,0,,4,401,40111,4011100308,2,2008,9,0,3
Arayat Health Center,0,0,Amhara,Simada Woreda,,452440800,970,0,,3,302,30207,302070024,2,2008,8,0,2
Gimba Health Center,10.909308,39.302561,Amhara,Legambo Woreda,,518798557,282,0,,3,304,30410,304100022,2,2008,9,0,2
Agarfa Health Center,9.5014,37.4734,Oromiya,Agarfa Woreda,,482703969,1133,0,,4,411,41104,411040021,2,2008,0,0,2
Bukuu Saayisaa Health Post,0,0,Oromiya,Hambela Wemena Woreda,Early first postnatal care attendances 73 hrs-6 days ( 4- 6 days),556276739,3033,0,1.1.7.3,4,414,41409,4140900316,2,2008,9,0,3
Dibbi Gara Gulti Health Post,0,0,Oromiya,Elu Gelan Woreda,,543897599,381,0,,4,405,40521,4052100310,2,2008,2,0,3
Addis Hiwot Higher Clinic,,,Oromiya,Bedele Town Woreda,,546489274,1262,0,,4,403,40321,403210022,2,2008,7,0,6
Yaso Health Center,0,0,Beneshangul Gumuz,Yaso Woreda,,446918284,574,0,,6,604,60401,604010021,2,2008,8,0,2
Kelil Health Post,0,0,Amhara,Janamora Woreda,Pneumococcal conjugated doses given (all ages),523879950,3006,0,1.3.10.3(Given),3,301,30103,3010300332,2,2008,7,0,3
Fredashum Health Post,0,0,Tigray,Gulo Meheda Woreda,"New acceptors, by method",550850196,4473,0,1.1.1.2.1,1,103,10301,1030100318,2,2008,1,0,3
Tsiwli Health Post,0,0,Amhara,Zigem Town Woreda,Gentamycine,527068106,3211,0, ,3,309,30910,3091000309,2,2008,2,0,3
Gudattu Babo Health Center,0,0,Oromiya,Babo Gambel Woreda,,545847230,418,0,,4,401,40111,401110021,2,2008,7,0,2
Jira Health Center,0,0,Tigray,Nader Adet Woreda,,474769072,2413,0,,1,102,10207,102070024,2,2008,2,0,2
Atlas Medium Clinic,0,0,Addis Ababa,Kolfe Keraniyo Kefle Ketema,,515141648,395,0,,14,0,14103,141050035,2,2008,10,0,6
Gan Arada Health Post,0,0,Amhara,Mojana Woreda,,519222752,843,0,,3,305,30511,3051100314,2,2008,3,0,3
Jiregna Health Post,,,Oromiya,Guto Gida Woreda,"Is there any woman who delivered at home in the kebele during the reporting month? (Write 1 if yes, write 0 if No)",552828583,3043,0,1.1.13.1,4,402,40213,402130036,2,2008,7,0,3
Jemie Primary Clinic,,,Amhara,,< 15 years,527339516,3964,0,4.2.1.14.1.1,3,314,0,314000042,2,2008,10,0,6
Lemi Irba Health Post,,,Oromiya,Qercha Woreda,,545606427,396,0,,4,414,41406,414060030,2,2008,6,0,3
Heyot Clinic,,,Afar,Ayssaita Woreda,Number HIV -ve,549208166,3055,0,1.2.7.2,2,201,20103,201030035,2,2008,3,0,6
Betsega Hospital,0,0,Addis Ababa,Bole Kifle Ketema,,514842049,525,0,,14,0,14110,141100034,2,2008,10,0,7
Deguat,,,Amhara,Dera Woreda,Gentamycine,524724551,3211,0, ,3,302,30209,302090047,2,2008,0,0,3
Tekli Weyane Health Post,0,0,Tigray,Emba Alaje Woreda,Pentavalent (DPT-HepB-Hib) doses given (all ages),550974601,29,0,1.3.10.2(Given),1,104,10404,1040400317,2,2008,8,0,3
Bata Ambi Health Post,0,0,Amhara,Banja Shekudad Woreda,Number of births attended by health extension workers at Health Post,526917918,3030,0,1.1.6.1,3,309,30902,3090200312,2,2008,5,0,3
Sonta Health Center,0,0,Oromiya,Hurumu Woreda,,545458660,437,0,,4,403,40316,403160022,2,2008,4,0,2
Gimbi Adventist Hospital,,,Oromiya,Gimbi Town Woreda,,546519164,1315,0,,4,401,40117,401170012,2,2008,9,0,1
Kob Health Center,0,0,Amhara,Bugna Woreda,,452484601,1457,0,,3,303,30301,303010023,2,2008,3,0,2
Dil Yibza Health Center,0,0,Amhara,Beyeda Woreda,Ergometrine Maleate Tablets,523850494,148,0, ,3,301,30102,301020024,2,2008,0,0,2
Dire Gemechu Health Post,0,0,Oromiya,Girawa Woreda,Oral Rehydration Salt,555415346,141,0, ,4,410,41016,4101600321,2,2008,4,0,3
Mankusa Health Center,10.70591,37.17586,Amhara,Jabi Tehinan Woreda,"Repeat acceptors, by method",526634510,4474,0,1.1.1.2.2,3,307,30709,307090022,2,2008,6,0,2
ARIYA MEDIUM CLINI,,,Oromiya,Dodola Woreda,,544958604,805,0,,4,417,41707,41722,2,2008,7,0,6
Chafemigna Health Center,0,0,Oromiya,Deder Woreda,,548450253,1106,0,,4,410,41011,410110024,2,2008,2,0,2
Vission Higher Clinic,0,0,Addis Ababa,Lideta Kifle Ketema,,515157506,323,0,,14,0,14105,141050042,2,2008,10,0,6
Mekoy Health Center,10.693405,39.790887,Amhara,Antsokiyana Gemza Woreda,                                                           :female,525694869,3732,0,4.2.1.5.1.1.16,3,305,30507,305070021,2,2008,6,0,2
Inni Amma Tole Health Post,0,0,Oromiya,Guduru Woreda,Number of births attended by health extension workers at Health Post,557011848,3030,0,1.1.6.1,4,419,41903,4190300323,2,2008,0,0,3
Dengeshta  warit Health Post,0,0,Amhara,Dangila Woreda,25 -49 years,526898499,3013,0,1.1.1.1.1.4,3,309,30901,3090100325,2,2008,10,0,3
Langey Health Center,0,0,Oromiya,Qersa Woreda,,544731201,691,0,,4,410,41008,410080024,2,2008,10,0,2
Koraro Health Center,0,0,Tigray,Hawzen Woreda,,474826299,2398,0,,1,103,10305,103050025,2,2008,0,0,2
Woreda 6 Health Center,9.06,38.75,Addis Ababa,Gulele Kifle Ketema,,515092649,502,0,,14,0,14104,141040024,2,2008,8,0,2
Adet HC Health Center,11.260266,37.492509,Amhara,Tegede Woreda,Number of women age 30-49 screened once with VIA/PAP for cervical cancer,523936316,3385,0,4.3.4.1,3,301,30107,301070022,2,2008,0,0,2
Tibbee Health Center,0,0,Oromiya,Jimma Horo Woreda,                  : females,556945688,3640,0,4.2.1.1.2.1.2,4,418,41810,418100022,2,2008,9,0,2
Waji Abaya Health Center,0,0,Oromiya,Seru Woreda,Number of children under one year of age who have received first  dose of pentavalent vaccine,554577103,23,0,1.3.1.1,4,408,40811,408110022,2,2008,7,0,2
Dhankaka Health Post,0,0,Oromiya,Ameya Woreda,,544250034,850,0,,4,413,41301,4130100325,2,2008,1,0,3
Zengi Health Center,0,0,Oromiya,Gudeya Bila Woreda,,546157924,1288,0,,4,402,40207,402070023,2,2008,9,0,2
Adis Melestegna Clinic,,,Amhara,Habru Woreda,,452563709,1417,0,,3,303,30308,303080033,2,2008,2,0,6
Mergech Health Post,0,0,Amhara,Shebel Berenta Woreda,,519740694,351,0,,3,306,30614,3061400314,2,2008,0,0,3
Wakentira Edo Health Post,0,0,Oromiya,Gedeb Asasa Woreda,Gentamycine,556616698,3211,0, ,4,417,41706,4170600318,2,2008,2,0,3
Choba Masido Health Post,0,0,Oromiya,Kersana Malima Woreda,Functional   1 to 5 networks,556081327,3206,0,2.1,4,413,41307,4130700316,2,2008,9,0,3
Mugno Witate Health Post,0,0,Oromiya,Jibat Woreda,,543840259,365,0,,4,405,40518,4051800302,2,2008,6,0,3
Bedessa Health Center,8.905179,40.769621,Oromiya,Bedesa Town Woreda,,546633341,1245,0,,4,409,40914,409140021,2,2008,5,0,2
Tekuiesh Health Center,0,0,Amhara,Raya Kobo Woreda,,452490375,1068,0,,3,303,30302,303020025,2,2008,0,0,2
Chira Health Centre,,,Amhara,Argoba Woreda,,518561770,637,0,,3,304,30423,304000016,2,2008,0,0,2
Litu Health Center,0,0,Oromiya,Bore Woreda,,482910463,1111,0,,4,414,41402,414020023,2,2008,1,0,2
Adis Medium Clinic,,,Oromiya,Dodota Woreda,                  : females,554489714,3926,0,4.2.1.10.1.2,4,408,40805,408050031,2,2008,3,0,6
Hinde Health Center,0,0,Oromiya,Ebantu Woreda,,528502487,884,0,,4,402,40202,402020021,2,2008,1,0,2
Qarcaa Health Center,5.784746,38.416209,Oromiya,Qercha Woreda,,545535564,641,0,,4,414,41406,414060022,2,2008,5,0,2
Toga Health Center,0,0,Oromiya,Shashemene Zuria Woreda,,548914149,1385,0,,4,417,41712,417120026,2,2008,10,0,2
Woreda 1 Health Center,0,0,Addis Ababa,Nefas Silk Lafto Kefle Ketema,,451985733,1570,0,,14,0,14102,141020027,2,2008,9,0,2
Amede Work Health Center,12.423224,38.708817,Amhara,Dehana Woreda,,520214792,723,0,,3,308,30803,308030021,2,2008,4,0,2
Hawisho Health Center,0,0,Oromiya,Sinana Woreda,>= 50 years : males,555567089,3618,0,4.2.1.1.1.1.7,4,411,41109,411090024,2,2008,1,0,2
Libanos Health Center,0,0,Amhara,Gozamin Woreda,5b = ABC+ddl-NFV : males,526224934,3812,0,4.2.1.3.2.3,3,306,30610,306100023,2,2008,3,0,2
Gute Godeti Health Post,0,0,Oromiya,Woliso Rural Woreda,,544329656,304,0,,4,413,41303,4130300315,2,2008,5,0,3
Wara Lira Health Post,0,0,Oromiya,Sasiga Woreda,,545313360,353,0,,4,402,40211,4021100313,2,2008,7,0,3
Hayat Medium Clinic,,,Amhara,,,453255185,1417,0,,3,314,0,314000045,2,2008,10,0,6
Yekenhana Health Post,0,0,Amhara,Enemay Woreda,,519560566,291,0,,3,306,30606,3060600324,2,2008,7,0,3
Balchi Health Center,8.912408,39.367581,Amhara,Minjar Woreda,Second Line Regimen,525860618,4502,0,4.2.1.4.2,3,305,30518,305180021,2,2008,7,0,2
