District Name, Date, FacilityName (HMIS), POINT_X (HMIS), POINT_Y (HMIS), Region (HMIS), District (HMIS), ActivityHP (HMIS), ValueID (HMIS), LabelID (HMIS), FederalID (HMIS), SNO (HMIS), RegionID (HMIS), ZoneID (HMIS), DistrictID (HMIS), LocationID (HMIS), Month (HMIS), Year (HMIS), Value (HMIS), Level (HMIS), FACILITYTYPE (HMIS), RegionName (PHEM), ZoneName (PHEM), DistrictName (PHEM), Year (PHEM), Epidemic_Week (PHEM), Month (PHEM), Total Malaria Confirmed and Clinical (PHEM), TMalaria_OutP_Cases (PHEM), TMalaria_InP_Cases (PHEM), TMalaria_InP_Deaths (PHEM), TMSuspected Fever Examined (PHEM), PosMalaria_RDT_or_Microscopy_PF_OutP_Cases (PHEM), PosMalaria_RDT_or_Microscopy_PV_OutP_Cases (PHEM), Meningits total Cases (PHEM), Meningitis_OutP_Cases (PHEM), Meningitis_InP_Cases (PHEM), Meningitis_InP_Deaths (PHEM), Dysentery_total Cases (PHEM), Dysentery_OutP_Cases (PHEM), Dysentery_InP_Cases (PHEM), Dysentery_InP_Deaths (PHEM), Typhoid fever Total cases (PHEM), Typhoid fever_OutP_Cases (PHEM), Typhoid fever_InP_Cases (PHEM), Typhoid fever_InP_Deaths (PHEM), Relapsing fever_total Cases (PHEM), Relapsing fever_OutP_Cases (PHEM), Relapsing fever_InP_Cases (PHEM), Relapsing fever_InP_Deaths (PHEM), Epidemic Typhus Total Cases (PHEM), Epidemic Typhus_OutP_Cases (PHEM), Epidemic Typhus_InP_Cases (PHEM), Epidemic Typhus_InP_Deaths (PHEM), Malnutrition_total Cases (PHEM), Malnutrition_OutP_Cases (PHEM), Malnutrition_InP_Cases (PHEM), Malnutrition_InP_Deaths (PHEM), AFP/Polio_Cases (PHEM), AFP/Polio_Deaths (PHEM), Anthrax_Cases (PHEM), Anthrax_Deaths (PHEM), Avian_Human_Influenza_Cases (PHEM), Avian_Human_Influenza_Deaths (PHEM), Cholera/AWD_Cases (PHEM), Cholera/AWD_Deaths (PHEM), Dracunculiasis/Guinea worm_Cases (PHEM), Dracunculiasis/Guinea worm_Deaths (PHEM), Measles_Cases (PHEM), Measles_Deaths (PHEM), Neonatal Tetanus_Cases (PHEM), Neonatal Tetanus_Deaths (PHEM), Pandemic Influenza_Cases (PHEM), Pandemic Influenza_Deaths (PHEM), Rabies_Cases (PHEM), Rabies_Deaths (PHEM), SARS_Cases (PHEM), SARS_Deaths (PHEM), Small pox_Cases (PHEM), Small pox_Deaths (PHEM), Viral hemorrhagic fever_Cases (PHEM), Viral hemorrhagic fever_Deaths (PHEM), Yellow fever_Cases (PHEM), Yellow fever_Deaths (PHEM), Maternal_Death (PHEM), Other 1_Name (PHEM), Other 1_Cases (PHEM), Other 1_Deaths (PHEM), Other 2_Name (PHEM), Other 2_Cases (PHEM), Other 2_Deaths (PHEM), Other 3_Name (PHEM), Other 3_Cases (PHEM), Other 3_Deaths (PHEM), No-of-Gov_HPs-expected-by-RHB (PHEM), No-of-Gov_HCs-expected-by-RHB (PHEM), No-of-Gov_Hosps-expected-by-RHB (PHEM), No-of-NGOHF-expected-by-RHB (PHEM), No-of-OtherHFs-expected-by-RHB (PHEM), No-of-Gov_HPs-Reported (PHEM), No-of-Gov_HCs-Reported (PHEM), No-of-Gov_Hosps-Reported (PHEM), No-of-NGOHFs-Reported (PHEM), No-of-OthersHF-Reported (PHEM), All-Total-sites-Reported (PHEM), All-Total-sites-Expected-by-RHB (PHEM), Total-Gov-sites-Reported (PHEM), Date_Sent (PHEM), Date_Received (PHEM), Date_WeekExpected (PHEM), Timeliness (PHEM), EthiopianMonth (PHEM), EthMonNum (PHEM), EthYear (PHEM)
, 2006-5, Adama Health Center, 8.546711, 39.276763, Oromiya, , , 35839778, 111, 0, , 4, 415, 0, 407010022, 5, 2006, 7, 0, 2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2006-5, Azezo Health Center, 12.55475, 37.42564, Amhara, , , 16855394, 1557, 0, , 3, 313, 0, 313000022, 5, 2006, 4, 0, 2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2006-5, Segno Gebeya Health Center, 10.875108, 39.641669, Amhara, , , 17110182, 1197, 0, , 3, 314, 0, 314000023, 5, 2006, 7, 0, 2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2006-6, Abiadi Hospital, 13.622522, 38.98851, Tigray, , , 38845077, 110, 0, , 1, 0, 0, 10009, 6, 2006, 2, 0, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2006-6, Zegie Health Center, 11.6934, 37.3181, Amhara, , , 31778102, 1257, 0, , 3, 311, 0, 311000025, 6, 2006, 6, 0, 2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2006-7, Abiadi Hospital, 13.622522, 38.98851, Tigray, , , 49459261, 925, 0, , 1, 0, 0, 10009, 7, 2006, 4, 0, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2006-7, BULE NILE M/CLINIC, , , Amhara, , , 31248207, 88, 0, , 3, 311, 0, 311000045, 7, 2006, 1, 0, 6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2006-7, Bahir Dar Health Center, 11.59115, 37.377059, Amhara, , , 38370784, 1186, 0, , 3, 311, 0, 311000021, 7, 2006, 6, 0, 2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2006-7, D.r Abdu Higher Op/clinic, , , Amhara, , , 38395696, 1248, 0, , 3, 311, 0, 311000044, 7, 2006, 4, 0, 6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2006-7, Ras Desta Hospital, 9.04, 38.74, Addis Ababa, , , 39800321, 1199, 0, , 14, 0, 0, 141070011, 7, 2006, 1, 0, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2006-8, Boru Meda Hospital, 11.220895, 39.610351, Amhara, , , 45890281, 1412, 0, , 3, 314, 0, 314000029, 8, 2006, 3, 0, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2006-8, Kahsay Abera Hospital, 14.275812, 36.609193, Tigray, , , 57841234, 1560, 0, , 1, 0, 0, 10008, 8, 2006, 9, 0, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2006-8, Metu Karl Hospital, 8.29256, 35.574687, Oromiya, , , 56230775, 525, 0, , 4, 403, 0, 403200011, 8, 2006, 10, 0, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2006-9, ALEMSAGA H.CLINIC, , , Amhara, , , 61116633, 1333, 0, , 3, 311, 0, 311000038, 9, 2006, 9, 0, 6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2006-9, Gerado Health Center, 0, 0, Amhara, , Mebendazole Tablets, 58746700, 143, 0,  , 3, 314, 0, 314000024, 9, 2006, 2, 0, 2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2006-9, Weleka health center, 0, 0, Amhara, , , 61137436, 1276, 0, , 3, 313, 0, 313000024, 9, 2006, 3, 0, 2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2007-1, Finoteselam Hospital, 10.6996, 37.2671, Amhara, , Children, 376429899, 4496, 0,  , 3, 307, 0, 307000011, 1, 2007, 1, 0, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2007-1, Gebrel Health center, 0, 0, Amhara, , , 137926711, 944, 0, , 3, 313, 0, 313000025, 1, 2007, 0, 0, 2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2007-1, Kelel Eyesus Health Post, 0, 0, Amhara, , , 148795329, 847, 0, , 3, 313, 0, 31300306, 1, 2007, 10, 0, 3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2007-1, Melka Oda Hospital, 0, 0, Oromiya, , >= 50 years : males, 398251349, 3653, 0, 4.2.1.1.2.1.15, 4, 426, 0, 4260012, 1, 2007, 8, 0, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2007-1, Nekemte Hospital, 9.077175, 36.565982, Oromiya, , , 93037504, 618, 0, , 4, 425, 0, 4250011, 1, 2007, 6, 0, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2007-1, Zewditu Memorial Hospital, 9.01, 38.75, Addis Ababa, , , 412918554, 1131, 0, , 14, 0, 0, 141060012, 1, 2007, 8, 0, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2007-10, Arjo Primary Hospital, , , Oromiya, , , 349500071, 1387, 0, , 4, 402, 0, 402030012, 10, 2007, 10, 0, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2007-10, Arjo Primary Hospital, , , Oromiya, , , 349544291, 1430, 0, , 4, 402, 0, 402030012, 10, 2007, 1, 0, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2007-10, Bokoji Primary Hospital, , , Oromiya, , , 365167368, 547, 0, , 4, 408, 0, 408120013, 10, 2007, 3, 0, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2007-10, Dr Demisew Internal Medicine Speciality Clinic, , , Amhara, , , 282854541, 845, 0, , 3, 314, 0, 314000059, 10, 2007, 10, 0, 6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2007-10, Jimma Health Center, 7.673809, 36.825281, Oromiya, , , 291741588, 669, 0, , 4, 416, 0, 4160021, 10, 2007, 1, 0, 2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2007-10, Jimma Univeristy Hospital, 7.677733, 36.854166, Oromiya, , , 290718977, 1103, 0, , 4, 416, 0, 4160012, 10, 2007, 8, 0, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2007-10, Nekemte Hospital, 9.077175, 36.565982, Oromiya, , , 349576151, 885, 0, , 4, 425, 0, 4250011, 10, 2007, 10, 0, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2007-10, SELAM MIDIUM, , , Amhara, , , 281674282, 870, 0, , 3, 313, 0, 313000039, 10, 2007, 0, 0, 6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2007-10, Tedila Medium Clinic, , , Oromiya, , 20-24years : males, 409882618, 4262, 0, 4.2.4.4.2.11, 4, 422, 0, 407090031, 10, 2007, 6, 0, 6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2007-11, ADAME   MIDIUM, , , Amhara, , , 455304452, 1141, 0, , 3, 313, 0, 313000041, 11, 2007, 6, 0, 6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2007-11, Asella Health Center, 9.1412, 41.8312, Oromiya, , , 478243304, 707, 0, , 4, 424, 0, 4240021, 11, 2007, 6, 0, 2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2007-11, Ataye Hospital, 10.35, 39.966667, Amhara, , , 454865341, 1417, 0, , 3, 305, 0, 305000014, 11, 2007, 9, 0, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2007-11, Betel Medium Clinic, , , Amhara, , , 455388280, 1338, 0, , 3, 314, 0, 314000056, 11, 2007, 10, 0, 6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2007-11, Dr Kebede, , , Oromiya, , , 481939345, 792, 0, , 4, 415, 0, 415010047, 11, 2007, 5, 0, 6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2007-11, Dr.Misganaw Higher Special Obs/Gyn Clinic, , , Amhara, , , 455363835, 1579, 0, , 3, 314, 0, 314000037, 11, 2007, 9, 0, 6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2007-11, Keta Health Center , 0, 0, Oromiya, , < 1 year: males, 500940905, 3675, 0, 4.2.1.2.1.1, 4, 422, 0, 407090023, 11, 2007, 9, 0, 2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2007-11, TENSAYE, , , Amhara, , , 456453020, 843, 0, , 3, 313, 0, 313000029, 11, 2007, 4, 0, 6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2007-11, Tisabay Health Center, 11.486293, 37.576439, Amhara, , TT doses given, 444015600, 32, 0, 1.3.10.7(Given), 3, 311, 0, 311000024, 11, 2007, 10, 0, 2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2007-12, Ethio General Hospital, , , Amhara, , , 458555356, 667, 0, , 3, 314, 0, 314000034, 12, 2007, 6, 0, 7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 2007-12, Gida Ayana District Hospital, 0, 0, Oromiya, , , 479930661, 700, 0, , 4, 402, 0, 402030011, 12, 2007, 6, 0, 1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
